tier,champ_name,item_count,item_set,combo_count,rnk,current_win_rate,base_naked_wr,total_lift
challenger,Ekko,0,NONE,1383,1,0.1663,0.1663,0.0000
challenger,Ekko,1,57,191,1,0.1518,0.1663,-0.0145
challenger,Ekko,1,2,149,3,0.1141,0.1663,-0.0522
challenger,Ekko,1,15,95,2,0.0737,0.1663,-0.0926
challenger,Ezreal,0,NONE,12275,1,0.0952,0.0952,0.0000
challenger,Ezreal,1,57,1763,2,0.1004,0.0952,0.0053
challenger,Ezreal,1,37,96,1,0.0833,0.0952,-0.0118
challenger,Ezreal,1,49,53,3,0.0566,0.0952,-0.0386
challenger,Ezreal,2,57-67,77,5,0.2078,0.0952,0.1126
challenger,Ezreal,2,29-57,82,1,0.1585,0.0952,0.0634
challenger,Ezreal,2,12-57,102,4,0.1569,0.0952,0.0617
challenger,Ezreal,2,56-57,126,2,0.0952,0.0952,0.0001
challenger,Ezreal,2,2-57,56,3,0.0714,0.0952,-0.0237
challenger,Fiora,0,NONE,2108,1,0.0773,0.0773,0.0000
challenger,Fiora,1,67,892,2,0.1738,0.0773,0.0965
challenger,Fiora,1,17,104,3,0.1635,0.0773,0.0861
challenger,Fiora,1,24,76,1,0.1447,0.0773,0.0674
challenger,Fizz,0,NONE,9190,1,0.1563,0.1563,0.0000
challenger,Fizz,1,55,78,3,0.1539,0.1563,-0.0024
challenger,Fizz,1,27,123,2,0.0894,0.1563,-0.0668
challenger,Fizz,1,69,176,1,0.0852,0.1563,-0.0710
challenger,Gangplank,0,NONE,578,1,0.2059,0.2059,0.0000
challenger,Gangplank,1,15,84,1,0.0952,0.2059,-0.1106
challenger,Gangplank,3,15-33-36,57,2,0.2983,0.2059,0.0924
challenger,Gangplank,3,15-33-37,52,1,0.2115,0.2059,0.0057
challenger,Graves,0,NONE,10887,1,0.1041,0.1041,0.0000
challenger,Graves,1,17,86,3,0.1628,0.1041,0.0587
challenger,Graves,1,58,111,1,0.1532,0.1041,0.0491
challenger,Graves,1,57,63,2,0.1270,0.1041,0.0229
challenger,Irelia,0,NONE,1729,1,0.1186,0.1186,0.0000
challenger,Irelia,1,88,69,2,0.1015,0.1186,-0.0171
challenger,Irelia,1,28,73,1,0.0959,0.1186,-0.0227
challenger,Irelia,1,16,68,3,0.0882,0.1186,-0.0303
challenger,Irelia,2,28-29,53,4,0.0943,0.1186,-0.0242
challenger,Irelia,2,16-19,60,5,0.0667,0.1186,-0.0519
challenger,Irelia,2,19-29,258,2,0.0620,0.1186,-0.0566
challenger,Irelia,2,15-29,115,1,0.0522,0.1186,-0.0664
challenger,Irelia,2,19-19,123,3,0.0488,0.1186,-0.0698
challenger,Irelia,3,13-19-29,64,3,0.2188,0.1186,0.1002
challenger,Irelia,3,19-28-49,66,4,0.1515,0.1186,0.0330
challenger,Irelia,3,15-28-29,118,1,0.1102,0.1186,-0.0084
challenger,Irelia,3,19-28-44,111,5,0.0991,0.1186,-0.0195
challenger,Irelia,3,16-19-28,56,2,0.0893,0.1186,-0.0293
challenger,JarvanIV,0,NONE,3567,1,0.1178,0.1178,0.0000
challenger,JarvanIV,1,27,180,1,0.2000,0.1178,0.0823
challenger,JarvanIV,1,35,95,2,0.1684,0.1178,0.0507
challenger,JarvanIV,1,67,86,3,0.0930,0.1178,-0.0247
challenger,Jayce,0,NONE,3610,1,0.0759,0.0759,0.0000
challenger,Jayce,1,67,143,2,0.1049,0.0759,0.0290
challenger,Jayce,1,79,63,1,0.0952,0.0759,0.0193
challenger,Jayce,1,3,77,3,0.0779,0.0759,0.0020
challenger,Jayce,2,15-36,51,3,0.0980,0.0759,0.0221
challenger,Jayce,2,36-66,59,2,0.0848,0.0759,0.0089
challenger,Jayce,2,33-36,51,1,0.0392,0.0759,-0.0367
challenger,Jayce,3,15-33-36,63,1,0.1587,0.0759,0.0828
challenger,Jhin,0,NONE,1942,1,0.1694,0.1694,0.0000
challenger,Jhin,1,12,58,3,0.1897,0.1694,0.0203
challenger,Jhin,1,1,54,1,0.1111,0.1694,-0.0583
challenger,Jhin,1,2,71,2,0.0845,0.1694,-0.0849
challenger,Jhin,2,15-26,119,2,0.1261,0.1694,-0.0434
challenger,Jhin,2,29-79,62,1,0.1129,0.1694,-0.0565
challenger,Jhin,2,19-29,289,5,0.1038,0.1694,-0.0656
challenger,Jhin,2,29-69,79,4,0.0886,0.1694,-0.0808
challenger,Jhin,2,15-29,569,3,0.0861,0.1694,-0.0833
challenger,Jhin,3,19-19-29,231,5,0.1688,0.1694,-0.0006
challenger,Jhin,3,19-26-29,240,4,0.1625,0.1694,-0.0069
challenger,Jhin,3,26-29-69,54,2,0.1482,0.1694,-0.0213
challenger,Jhin,3,15-19-26,197,3,0.1269,0.1694,-0.0425
challenger,Jhin,3,15-16-19,62,1,0.0807,0.1694,-0.0888
challenger,Jinx,0,NONE,508,1,0.0925,0.0925,0.0000
challenger,Jinx,1,12,111,2,0.0721,0.0925,-0.0205
challenger,Jinx,1,29,62,3,0.0645,0.0925,-0.0280
challenger,Jinx,1,57,70,1,0.0571,0.0925,-0.0354
challenger,Jinx,2,29-57,77,2,0.1039,0.0925,0.0114
challenger,Jinx,2,12-57,256,1,0.0938,0.0925,0.0012
challenger,Jinx,2,12-12,91,3,0.0440,0.0925,-0.0486
challenger,Jinx,2,12-29,80,4,0.0375,0.0925,-0.0550
challenger,Jinx,2,12-69,52,5,0.0000,0.0925,-0.0925
challenger,Jinx,3,12-49-57,62,1,0.1774,0.0925,0.0849
challenger,Jinx,3,12-22-69,102,3,0.1569,0.0925,0.0643
challenger,Jinx,3,12-26-57,389,5,0.1491,0.0925,0.0566
challenger,Jinx,3,13-15-57,55,2,0.1091,0.0925,0.0166
challenger,Jinx,3,12-12-12,58,4,0.0345,0.0925,-0.0580
challenger,KaiSa,0,NONE,1590,1,0.0711,0.0711,0.0000
challenger,KaiSa,1,67,70,3,0.0857,0.0711,0.0146
challenger,KaiSa,1,38,87,2,0.0460,0.0711,-0.0251
challenger,KaiSa,1,44,155,1,0.0194,0.0711,-0.0517
challenger,KaiSa,2,37-38,142,5,0.1690,0.0711,0.0979
challenger,KaiSa,2,34-37,89,2,0.1124,0.0711,0.0413
challenger,KaiSa,2,38-44,188,4,0.0745,0.0711,0.0034
challenger,KaiSa,2,4-37,70,3,0.0714,0.0711,0.0004
challenger,KaiSa,2,37-44,543,1,0.0479,0.0711,-0.0232
challenger,KaiSa,3,24-37-38,58,2,0.3103,0.0711,0.2393
challenger,KaiSa,3,34-37-38,147,1,0.2449,0.0711,0.1738
challenger,KaiSa,3,14-37-38,229,5,0.2314,0.0711,0.1604
challenger,KaiSa,3,15-38-44,53,4,0.1698,0.0711,0.0987
challenger,KaiSa,3,37-44-44,144,3,0.1389,0.0711,0.0678
challenger,Karma,0,NONE,11298,1,0.1486,0.1486,0.0000
challenger,Karma,1,88,71,3,0.2535,0.1486,0.1049
challenger,Karma,1,47,89,2,0.2135,0.1486,0.0649
challenger,Karma,1,14,71,1,0.1549,0.1486,0.0063
challenger,Kassadin,0,NONE,14576,1,0.1088,0.1088,0.0000
challenger,Kassadin,1,47,780,3,0.1603,0.1088,0.0515
challenger,Kassadin,1,27,151,1,0.1523,0.1088,0.0435
challenger,Kassadin,1,2,71,2,0.1268,0.1088,0.0180
challenger,Kayle,0,NONE,5064,1,0.1592,0.1592,0.0000
challenger,Kayle,1,17,93,2,0.2043,0.1592,0.0451
challenger,Kayle,1,22,323,1,0.1053,0.1592,-0.0539
challenger,Kayle,1,3,66,3,0.0758,0.1592,-0.0834
challenger,Kayle,2,22-23,104,1,0.1058,0.1592,-0.0534
challenger,Kayle,2,15-22,87,4,0.0690,0.1592,-0.0902
challenger,Kayle,2,22-69,61,5,0.0328,0.1592,-0.1264
challenger,Kayle,2,15-23,107,2,0.0280,0.1592,-0.1311
challenger,Kayle,2,23-69,76,3,0.0000,0.1592,-0.1592
challenger,Kayle,3,15-24-37,67,1,0.1642,0.1592,0.0050
challenger,Kayle,3,22-23-69,584,5,0.1490,0.1592,-0.0102
challenger,Kayle,3,15-23-49,283,3,0.1272,0.1592,-0.0320
challenger,Kayle,3,22-24-69,78,4,0.1026,0.1592,-0.0566
challenger,Kayle,3,22-23-49,81,2,0.0741,0.1592,-0.0851
challenger,KhaZix,0,NONE,5730,1,0.1038,0.1038,0.0000
challenger,KhaZix,1,12,51,2,0.1569,0.1038,0.0530
challenger,KhaZix,1,7,69,1,0.1304,0.1038,0.0266
challenger,KhaZix,1,6,58,3,0.0517,0.1038,-0.0521
challenger,KhaZix,3,19-19-22,106,1,0.1132,0.1038,0.0094
challenger,Leona,0,NONE,4590,1,0.0909,0.0909,0.0000
challenger,Leona,1,77,72,1,0.1806,0.0909,0.0897
challenger,Leona,1,66,67,3,0.1194,0.0909,0.0286
challenger,Leona,1,7,357,2,0.0868,0.0909,-0.0040
challenger,Lucian,0,NONE,2517,1,0.0556,0.0556,0.0000
challenger,Lucian,1,2,388,3,0.1366,0.0556,0.0810
challenger,Lucian,1,24,96,1,0.1146,0.0556,0.0590
challenger,Lucian,1,56,150,2,0.1067,0.0556,0.0511
challenger,Lucian,2,26-57,156,2,0.2244,0.0556,0.1687
challenger,Lucian,2,29-57,122,3,0.1967,0.0556,0.1411
challenger,Lucian,2,56-57,152,4,0.1776,0.0556,0.1220
challenger,Lucian,2,34-57,73,1,0.1370,0.0556,0.0814
challenger,Lucian,2,12-57,252,5,0.1071,0.0556,0.0515
challenger,Lulu,0,NONE,7896,1,0.2037,0.2037,0.0000
challenger,Lulu,1,15,86,3,0.2674,0.2037,0.0638
challenger,Lulu,1,24,108,1,0.2037,0.2037,0.0001
challenger,Lulu,1,7,59,2,0.1017,0.2037,-0.1020
challenger,Lux,0,NONE,11560,1,0.1549,0.1549,0.0000
challenger,Lux,1,79,69,2,0.2174,0.1549,0.0625
challenger,Lux,1,1,53,3,0.1698,0.1549,0.0149
challenger,Lux,1,67,292,1,0.1644,0.1549,0.0095
challenger,Malphite,0,NONE,16535,1,0.1082,0.1082,0.0000
challenger,Malphite,1,59,91,3,0.1648,0.1082,0.0567
challenger,Malphite,1,55,62,1,0.1290,0.1082,0.0208
challenger,Malphite,1,88,168,2,0.1071,0.1082,-0.0011
challenger,MasterYi,0,NONE,1671,1,0.0790,0.0790,0.0000
challenger,MasterYi,3,23-55-69,306,1,0.1601,0.0790,0.0811
challenger,MasterYi,3,22-23-69,96,2,0.1354,0.0790,0.0564
challenger,MissFortune,0,NONE,4016,1,0.1524,0.1524,0.0000
challenger,MissFortune,1,79,178,2,0.1629,0.1524,0.0105
challenger,MissFortune,1,46,66,1,0.0909,0.1524,-0.0615
challenger,MissFortune,1,26,52,3,0.0577,0.1524,-0.0947
challenger,MissFortune,2,34-69,73,3,0.0959,0.1524,-0.0565
challenger,MissFortune,2,44-79,54,4,0.0926,0.1524,-0.0598
challenger,MissFortune,2,44-69,91,2,0.0550,0.1524,-0.0974
challenger,MissFortune,2,37-44,59,5,0.0509,0.1524,-0.1015
challenger,MissFortune,2,34-44,51,1,0.0392,0.1524,-0.1132
challenger,MissFortune,3,37-44-69,57,2,0.1579,0.1524,0.0055
challenger,MissFortune,3,33-44-69,84,1,0.1310,0.1524,-0.0214
challenger,Mordekaiser,0,NONE,6533,1,0.0989,0.0989,0.0000
challenger,Mordekaiser,1,36,234,1,0.1026,0.0989,0.0037
challenger,Mordekaiser,1,7,70,3,0.0857,0.0989,-0.0132
challenger,Mordekaiser,1,55,142,2,0.0845,0.0989,-0.0144
challenger,Mordekaiser,2,36-37,52,1,0.0769,0.0989,-0.0220
challenger,Mordekaiser,3,37-55-66,67,2,0.2687,0.0989,0.1698
challenger,Mordekaiser,3,33-55-66,56,1,0.1786,0.0989,0.0797
challenger,Neeko,0,NONE,2182,1,0.1260,0.1260,0.0000
challenger,Neeko,1,37,69,2,0.1739,0.1260,0.0479
challenger,Neeko,1,15,219,1,0.1096,0.1260,-0.0164
challenger,Neeko,1,79,62,3,0.0484,0.1260,-0.0776
challenger,Neeko,2,15-36,61,3,0.1967,0.1260,0.0707
challenger,Neeko,2,15-79,77,2,0.0909,0.1260,-0.0351
challenger,Neeko,2,15-37,70,5,0.0714,0.1260,-0.0546
challenger,Neeko,2,15-69,61,4,0.0656,0.1260,-0.0605
challenger,Neeko,2,27-27,51,1,0.0588,0.1260,-0.0672
challenger,Neeko,3,15-27-36,104,3,0.2789,0.1260,0.1528
challenger,Neeko,3,15-27-69,54,1,0.2407,0.1260,0.1147
challenger,Neeko,3,15-37-79,60,5,0.2333,0.1260,0.1073
challenger,Neeko,3,15-27-37,54,2,0.1852,0.1260,0.0592
challenger,Neeko,3,15-27-79,75,4,0.0933,0.1260,-0.0327
challenger,Poppy,0,NONE,7202,1,0.1103,0.1103,0.0000
challenger,Poppy,1,25,56,3,0.1429,0.1103,0.0326
challenger,Poppy,1,36,74,2,0.1081,0.1103,-0.0021
challenger,Poppy,1,55,58,1,0.0517,0.1103,-0.0585
challenger,Poppy,2,55-66,53,1,0.1321,0.1103,0.0218
challenger,Poppy,3,33-55-66,70,1,0.2286,0.1103,0.1183
challenger,Poppy,3,25-55-66,89,2,0.1461,0.1103,0.0358
challenger,Rakan,0,NONE,2162,1,0.1272,0.1272,0.0000
challenger,Rakan,1,67,80,1,0.1750,0.1272,0.0478
challenger,Rakan,1,14,291,3,0.0722,0.1272,-0.0550
challenger,Rakan,1,4,70,2,0.0571,0.1272,-0.0701
challenger,Rakan,2,14-14,61,2,0.1475,0.1272,0.0203
challenger,Rakan,2,14-45,53,3,0.0943,0.1272,-0.0329
challenger,Rakan,2,14-37,199,1,0.0603,0.1272,-0.0669
challenger,Rakan,3,14-36-37,71,4,0.1972,0.1272,0.0700
challenger,Rakan,3,14-14-37,171,2,0.1754,0.1272,0.0482
challenger,Rakan,3,14-26-37,75,3,0.1733,0.1272,0.0461
challenger,Rakan,3,14-37-45,52,1,0.1731,0.1272,0.0459
challenger,Rumble,0,NONE,3014,1,0.2316,0.2316,0.0000
challenger,Rumble,1,36,78,3,0.1154,0.2316,-0.1162
challenger,Rumble,1,27,120,1,0.0917,0.2316,-0.1399
challenger,Rumble,1,25,92,2,0.0761,0.2316,-0.1555
challenger,Rumble,2,36-69,80,1,0.1625,0.2316,-0.0691
challenger,Rumble,2,55-66,71,5,0.0986,0.2316,-0.1330
challenger,Rumble,2,25-69,157,2,0.0892,0.2316,-0.1424
challenger,Rumble,2,27-55,59,3,0.0678,0.2316,-0.1638
challenger,Rumble,2,55-69,341,4,0.0557,0.2316,-0.1759
challenger,Rumble,3,55-66-69,185,1,0.1351,0.2316,-0.0965
challenger,Rumble,3,55-69-77,125,3,0.1280,0.2316,-0.1036
challenger,Rumble,3,25-27-69,85,4,0.1177,0.2316,-0.1139
challenger,Rumble,3,27-36-69,74,5,0.0946,0.2316,-0.1370
challenger,Rumble,3,15-55-69,75,2,0.0533,0.2316,-0.1783
challenger,Shaco,0,NONE,2261,1,0.0898,0.0898,0.0000
challenger,Shaco,1,36,57,2,0.1930,0.0898,0.1032
challenger,Shaco,1,45,139,3,0.1439,0.0898,0.0541
challenger,Shaco,1,15,349,1,0.0630,0.0898,-0.0267
challenger,Shaco,2,13-15,109,2,0.1193,0.0898,0.0295
challenger,Shaco,2,16-19,112,5,0.1161,0.0898,0.0263
challenger,Shaco,2,15-19,160,3,0.1063,0.0898,0.0165
challenger,Shaco,2,19-29,51,4,0.0980,0.0898,0.0083
challenger,Shaco,2,15-29,164,1,0.0732,0.0898,-0.0166
challenger,Shaco,3,15-16-45,67,4,0.2687,0.0898,0.1789
challenger,Shaco,3,15-16-69,91,1,0.2528,0.0898,0.1630
challenger,Shaco,3,12-15-16,52,5,0.2500,0.0898,0.1602
challenger,Shaco,3,15-16-22,64,3,0.2031,0.0898,0.1134
challenger,Shaco,3,15-16-29,720,2,0.1347,0.0898,0.0449
challenger,Shen,0,NONE,11120,1,0.1067,0.1067,0.0000
challenger,Shen,1,35,117,1,0.1624,0.1067,0.0557
challenger,Shen,1,68,279,3,0.1147,0.1067,0.0080
challenger,Shen,1,36,216,2,0.0972,0.1067,-0.0095
challenger,Sona,0,NONE,3695,1,0.1221,0.1221,0.0000
challenger,Sona,1,78,119,1,0.1765,0.1221,0.0544
challenger,Sona,1,46,225,2,0.1067,0.1221,-0.0154
challenger,Sona,1,44,161,3,0.0808,0.1221,-0.0413
challenger,Sona,2,44-46,318,3,0.0755,0.1221,-0.0466
challenger,Sona,2,46-46,288,1,0.0590,0.1221,-0.0630
challenger,Sona,2,46-48,99,2,0.0505,0.1221,-0.0716
challenger,Sona,3,46-46-46,238,5,0.3529,0.1221,0.2309
challenger,Sona,3,46-46-48,252,2,0.2540,0.1221,0.1319
challenger,Sona,3,44-44-46,71,1,0.1690,0.1221,0.0470
challenger,Sona,3,44-46-48,203,4,0.1379,0.1221,0.0159
challenger,Sona,3,4-46-46,59,3,0.0170,0.1221,-0.1051
challenger,Soraka,0,NONE,7337,1,0.1651,0.1651,0.0000
challenger,Soraka,1,68,54,2,0.2963,0.1651,0.1313
challenger,Soraka,1,14,151,3,0.1921,0.1651,0.0270
challenger,Soraka,1,22,89,1,0.1573,0.1651,-0.0078
challenger,Syndra,0,NONE,1808,1,0.1156,0.1156,0.0000
challenger,Syndra,1,15,107,1,0.1495,0.1156,0.0339
challenger,Syndra,1,39,83,2,0.1205,0.1156,0.0049
challenger,Syndra,1,33,67,3,0.0896,0.1156,-0.0261
challenger,Syndra,2,44-46,143,1,0.1329,0.1156,0.0173
challenger,Syndra,2,46-46,98,3,0.0612,0.1156,-0.0544
challenger,Syndra,2,15-46,116,2,0.0345,0.1156,-0.0811
challenger,Syndra,2,15-44,130,4,0.0231,0.1156,-0.0925
challenger,Syndra,3,44-46-46,171,5,0.2983,0.1156,0.1827
challenger,Syndra,3,15-33-44,158,4,0.1329,0.1156,0.0173
challenger,Syndra,3,15-46-46,303,3,0.1221,0.1156,0.0065
challenger,Syndra,3,15-34-44,69,1,0.1159,0.1156,0.0003
challenger,Syndra,3,46-46-79,53,2,0.1132,0.1156,-0.0024
challenger,Thresh,0,NONE,10538,1,0.1599,0.1599,0.0000
challenger,Thresh,1,17,179,2,0.2235,0.1599,0.0636
challenger,Thresh,1,15,95,1,0.2105,0.1599,0.0506
challenger,Thresh,1,27,53,3,0.1509,0.1599,-0.0090
challenger,TwistedFate,0,NONE,2201,1,0.1163,0.1163,0.0000
challenger,TwistedFate,1,67,87,1,0.1724,0.1163,0.0561
challenger,TwistedFate,3,14-19-39,82,1,0.0732,0.1163,-0.0431
challenger,VelKoz,0,NONE,1851,1,0.1410,0.1410,0.0000
challenger,VelKoz,1,48,290,3,0.1586,0.1410,0.0176
challenger,VelKoz,1,33,104,1,0.1250,0.1410,-0.0160
challenger,VelKoz,1,69,51,2,0.1177,0.1410,-0.0234
challenger,VelKoz,2,37-48,81,1,0.2469,0.1410,0.1059
challenger,VelKoz,3,37-44-69,401,3,0.1746,0.1410,0.0336
challenger,VelKoz,3,15-37-44,125,1,0.1360,0.1410,-0.0050
challenger,VelKoz,3,33-44-69,194,4,0.1289,0.1410,-0.0121
challenger,VelKoz,3,15-33-44,64,2,0.0781,0.1410,-0.0629
challenger,Vi,0,NONE,6514,1,0.0880,0.0880,0.0000
challenger,Vi,1,49,61,1,0.1639,0.0880,0.0760
challenger,Vi,1,67,1262,3,0.1450,0.0880,0.0571
challenger,Vi,1,37,407,2,0.1155,0.0880,0.0275
challenger,Vi,2,36-88,72,1,0.1806,0.0880,0.0926
challenger,Vi,2,36-67,81,5,0.1605,0.0880,0.0725
challenger,Vi,2,45-45,90,2,0.1333,0.0880,0.0454
challenger,Vi,2,35-36,51,4,0.1177,0.0880,0.0297
challenger,Vi,2,36-45,273,3,0.1062,0.0880,0.0183
challenger,Vi,3,36-45-45,63,1,0.1587,0.0880,0.0708
challenger,WuKong,0,NONE,8208,1,0.1045,0.1045,0.0000
challenger,WuKong,1,47,615,3,0.1398,0.1045,0.0353
challenger,WuKong,1,37,547,2,0.1006,0.1045,-0.0040
challenger,WuKong,1,77,94,1,0.0851,0.1045,-0.0194
challenger,WuKong,2,37-45,58,5,0.1552,0.1045,0.0506
challenger,WuKong,2,37-47,65,3,0.1385,0.1045,0.0339
challenger,WuKong,2,45-47,61,4,0.1312,0.1045,0.0266
challenger,WuKong,2,36-45,61,1,0.0984,0.1045,-0.0062
challenger,WuKong,2,36-37,54,2,0.0741,0.1045,-0.0305
challenger,Xayah,0,NONE,4781,1,0.1136,0.1136,0.0000
challenger,Xayah,1,67,299,3,0.1605,0.1136,0.0470
challenger,Xayah,1,24,61,1,0.1312,0.1136,0.0176
challenger,Xayah,1,17,84,2,0.0952,0.1136,-0.0183
challenger,Xayah,3,19-19-29,53,4,0.2830,0.1136,0.1695
challenger,Xayah,3,19-29-69,308,3,0.2338,0.1136,0.1202
challenger,Xayah,3,12-29-69,163,2,0.2025,0.1136,0.0889
challenger,Xayah,3,15-19-29,68,1,0.1765,0.1136,0.0629
challenger,Xerath,0,NONE,1461,1,0.2231,0.2231,0.0000
challenger,Xerath,1,48,51,3,0.2549,0.2231,0.0318
challenger,Xerath,1,23,124,1,0.1452,0.2231,-0.0780
challenger,Xerath,1,79,51,2,0.1177,0.2231,-0.1055
challenger,Xerath,2,23-69,71,1,0.1549,0.2231,-0.0682
challenger,Xerath,3,23-33-69,110,3,0.3727,0.2231,0.1496
challenger,Xerath,3,23-23-69,92,2,0.3044,0.2231,0.0812
challenger,Xerath,3,15-23-69,61,1,0.2131,0.2231,-0.0100
challenger,XinZhao,0,NONE,2209,1,0.1200,0.1200,0.0000
challenger,XinZhao,1,27,126,3,0.1508,0.1200,0.0308
challenger,XinZhao,1,25,113,1,0.1327,0.1200,0.0128
challenger,XinZhao,1,55,120,2,0.1167,0.1200,-0.0033
challenger,XinZhao,2,55-66,103,1,0.0777,0.1200,-0.0423
challenger,XinZhao,2,55-69,74,2,0.0676,0.1200,-0.0524
challenger,XinZhao,2,25-55,62,3,0.0645,0.1200,-0.0554
challenger,XinZhao,3,25-55-66,310,1,0.1871,0.1200,0.0671
challenger,XinZhao,3,25-55-69,228,2,0.1754,0.1200,0.0555
challenger,XinZhao,3,55-66-69,111,3,0.1171,0.1200,-0.0028
challenger,XinZhao,3,55-66-77,53,4,0.1132,0.1200,-0.0068
challenger,Yasuo,0,NONE,1739,1,0.0863,0.0863,0.0000
challenger,Yasuo,1,14,52,1,0.0192,0.0863,-0.0670
challenger,Ziggs,0,NONE,1161,1,0.0965,0.0965,0.0000
challenger,Zoe,0,NONE,7534,1,0.1375,0.1375,0.0000
challenger,Zoe,1,88,89,1,0.1910,0.1375,0.0535
challenger,Zoe,1,67,168,3,0.1845,0.1375,0.0470
challenger,Zoe,1,2,61,2,0.1148,0.1375,-0.0228
diamond,Ahri,0,NONE,2859,1,0.1137,0.1137,0.0000
diamond,Ahri,1,46,76,3,0.1053,0.1137,-0.0084
diamond,Ahri,1,37,162,1,0.0803,0.1137,-0.0334
diamond,Ahri,1,39,57,2,0.0526,0.1137,-0.0611
diamond,Annie,0,NONE,8284,1,0.1328,0.1328,0.0000
diamond,Annie,1,25,57,3,0.1053,0.1328,-0.0275
diamond,Annie,1,69,81,1,0.0617,0.1328,-0.0711
diamond,Annie,1,66,58,2,0.0517,0.1328,-0.0811
diamond,Ashe,0,NONE,10077,1,0.1289,0.1289,0.0000
diamond,Ashe,1,34,94,1,0.1064,0.1289,-0.0225
diamond,Ashe,1,89,82,3,0.0976,0.1289,-0.0314
diamond,Ashe,1,14,414,2,0.0894,0.1289,-0.0395
diamond,AurelionSol,0,NONE,2627,1,0.2181,0.2181,0.0000
diamond,AurelionSol,1,67,60,1,0.2333,0.2181,0.0152
diamond,AurelionSol,1,46,59,2,0.2203,0.2181,0.0022
diamond,AurelionSol,1,34,52,3,0.1154,0.2181,-0.1027
diamond,Blitzcrank,0,NONE,19351,1,0.1176,0.1176,0.0000
diamond,Blitzcrank,1,47,115,1,0.1826,0.1176,0.0650
diamond,Blitzcrank,1,27,88,2,0.1477,0.1176,0.0301
diamond,Blitzcrank,1,8,57,3,0.1053,0.1176,-0.0124
diamond,Blitzcrank,2,58-67,68,1,0.2206,0.1176,0.1030
diamond,Caitlyn,0,NONE,4337,1,0.1084,0.1084,0.0000
diamond,Caitlyn,1,19,61,3,0.1312,0.1084,0.0228
diamond,Caitlyn,1,24,70,2,0.1143,0.1084,0.0059
diamond,Caitlyn,1,57,57,1,0.0877,0.1084,-0.0207
diamond,ChoGath,0,NONE,6101,1,0.1080,0.1080,0.0000
diamond,ChoGath,1,15,272,2,0.1287,0.1080,0.0207
diamond,ChoGath,1,88,52,3,0.0962,0.1080,-0.0119
diamond,ChoGath,1,5,157,1,0.0573,0.1080,-0.0507
diamond,ChoGath,2,36-55,64,1,0.1406,0.1080,0.0326
diamond,ChoGath,2,36-66,67,3,0.1343,0.1080,0.0263
diamond,ChoGath,2,15-36,63,2,0.1270,0.1080,0.0190
diamond,ChoGath,2,36-47,114,5,0.1140,0.1080,0.0060
diamond,ChoGath,2,15-37,57,4,0.0702,0.1080,-0.0378
