tier,champ_name,item_id,zero_item_win_rate,zero_count,one_item_win_rate,one_count,lift_score,cn_champ,cn_item
diamond,Ezreal,59,0.1067,9487,0.254,63,0.1473,伊泽瑞尔,静止法衣
grandmaster,KhaZix,29,0.0891,4803,0.2353,51,0.1462,卡兹克,最后的轻语
platinum,Vi,59,0.1193,8502,0.2652,132,0.1459,蔚,静止法衣
challenger,Ashe,88,0.1282,8931,0.274,73,0.1458,艾希,自然之力
master,Kassadin,34,0.1123,14742,0.2577,97,0.1455,卡萨丁,卢登的回声
master,Vi,59,0.0952,7791,0.2402,204,0.145,蔚,静止法衣
platinum,Graves,59,0.1097,7456,0.2546,55,0.1448,格雷福斯,静止法衣
platinum,Ekko,89,0.1735,1816,0.3175,63,0.144,艾克,暗星之心
diamond,Fiora,59,0.079,3024,0.2222,63,0.1432,菲奥娜,静止法衣
diamond,Leona,59,0.0683,3264,0.2113,71,0.143,蕾欧娜,静止法衣
challenger,Blitzcrank,59,0.0998,18309,0.2422,128,0.1424,布里茨,静止法衣
grandmaster,Fiora,17,0.0715,2280,0.2137,117,0.1422,菲奥娜,基克的先驱
diamond,Vi,59,0.1075,9879,0.2487,185,0.1412,蔚,静止法衣
challenger,Fiora,35,0.0773,2108,0.2176,193,0.1403,菲奥娜,钢铁烈阳之匣
platinum,Graves,88,0.1097,7456,0.25,72,0.1403,格雷福斯,自然之力
challenger,Lulu,89,0.2037,7896,0.3425,73,0.1388,璐璐,暗星之心
master,Lux,59,0.1576,10438,0.2958,71,0.1382,拉克丝,静止法衣
platinum,Thresh,59,0.1805,5911,0.3182,110,0.1377,锤石,静止法衣
master,Kassadin,13,0.1123,14742,0.25,52,0.1377,卡萨丁,海克斯科技枪刃
grandmaster,Lux,59,0.1637,10165,0.3014,73,0.1377,拉克丝,静止法衣
master,Malphite,17,0.1165,17050,0.254,63,0.1375,墨菲特,基克的先驱
challenger,Kassadin,26,0.1088,14576,0.2459,61,0.1371,卡萨丁,卢安娜的飓风
master,Graves,38,0.1093,10883,0.2456,57,0.1363,格雷福斯,爆破专家的电荷
master,Ezreal,59,0.0999,11391,0.2346,81,0.1347,伊泽瑞尔,静止法衣
master,Kassadin,39,0.1123,14742,0.2466,73,0.1343,卡萨丁,珠光护手
platinum,WuKong,88,0.1047,8139,0.2386,88,0.134,孙悟空,自然之力
platinum,MissFortune,23,0.1478,3830,0.2813,64,0.1335,厄运小姐,鬼索的狂暴之刃
challenger,Lulu,79,0.2037,7896,0.3365,107,0.1328,璐璐,伏击之爪
diamond,Poppy,88,0.1031,3995,0.2353,68,0.1322,波比,自然之力
diamond,Fiora,17,0.079,3024,0.2113,71,0.1322,菲奥娜,基克的先驱
diamond,Fiora,27,0.079,3024,0.2111,90,0.1321,菲奥娜,兹若特传送门
challenger,Mordekaiser,59,0.0989,6533,0.2308,78,0.1319,莫德凯撒,静止法衣
challenger,Soraka,68,0.1651,7337,0.2963,54,0.1313,索拉卡,天神法球
platinum,Fiora,35,0.0827,3422,0.2133,75,0.1306,菲奥娜,钢铁烈阳之匣
diamond,Ashe,59,0.1289,10077,0.2593,54,0.1304,艾希,静止法衣
platinum,Blitzcrank,59,0.1249,16529,0.2549,102,0.13,布里茨,静止法衣
diamond,Kassadin,28,0.1245,16396,0.2542,59,0.1298,卡萨丁,刺客之爪
challenger,Soraka,59,0.1651,7337,0.2941,68,0.1291,索拉卡,静止法衣
diamond,Poppy,59,0.1031,3995,0.2321,56,0.129,波比,静止法衣
challenger,Kassadin,39,0.1088,14576,0.2373,59,0.1285,卡萨丁,珠光护手
challenger,Lucian,17,0.0556,2517,0.1833,120,0.1277,卢锡安,基克的先驱
grandmaster,WuKong,59,0.1081,8896,0.2338,201,0.1257,孙悟空,静止法衣
platinum,Leona,47,0.0838,4549,0.2093,172,0.1256,蕾欧娜,救赎
challenger,Fiora,79,0.0773,2108,0.2027,74,0.1254,菲奥娜,伏击之爪
platinum,Leona,35,0.0838,4549,0.2091,110,0.1253,蕾欧娜,钢铁烈阳之匣
diamond,Caitlyn,69,0.1084,4337,0.233,103,0.1246,凯特琳,水银
platinum,Fiora,17,0.0827,3422,0.2069,58,0.1242,菲奥娜,基克的先驱
platinum,Soraka,59,0.1407,7122,0.2647,68,0.124,索拉卡,静止法衣
platinum,Fiora,68,0.0827,3422,0.2064,63,0.1237,菲奥娜,天神法球
challenger,KhaZix,89,0.1038,5730,0.2264,53,0.1226,卡兹克,暗星之心
challenger,KhaZix,59,0.1038,5730,0.2264,106,0.1226,卡兹克,静止法衣
diamond,Lux,28,0.1461,6963,0.2687,67,0.1226,拉克丝,刺客之爪
platinum,Lulu,17,0.1979,6257,0.32,100,0.1221,璐璐,基克的先驱
master,Jayce,78,0.0753,4410,0.197,66,0.1217,杰斯,守护者胸甲
challenger,Kassadin,78,0.1088,14576,0.23,100,0.1212,卡萨丁,守护者胸甲
diamond,Ashe,17,0.1289,10077,0.25,64,0.1211,艾希,基克的先驱
master,Shaco,17,0.0657,2040,0.1861,86,0.1204,萨科,基克的先驱
platinum,Kassadin,79,0.1205,10815,0.24,75,0.1195,卡萨丁,伏击之爪
platinum,ChoGath,79,0.1078,4414,0.2268,97,0.119,科加斯,伏击之爪
platinum,MissFortune,22,0.1478,3830,0.2667,60,0.1189,厄运小姐,疾射火炮
diamond,Graves,88,0.1153,11229,0.2342,111,0.1189,格雷福斯,自然之力
master,Lulu,26,0.201,6815,0.3194,72,0.1184,璐璐,卢安娜的飓风
diamond,Darius,67,0.0816,1691,0.2,60,0.1184,德莱厄斯,凌风
master,ChoGath,79,0.0932,5524,0.2113,142,0.118,科加斯,伏击之爪
grandmaster,Fiora,22,0.0715,2280,0.1887,53,0.1172,菲奥娜,疾射火炮
platinum,Blitzcrank,58,0.1249,16529,0.2421,190,0.1172,布里茨,叛逆者勋章
diamond,JarvanIV,59,0.0988,3614,0.2157,51,0.1169,嘉文四世,静止法衣
grandmaster,Leona,59,0.0752,4125,0.1917,120,0.1165,蕾欧娜,静止法衣
grandmaster,Zoe,46,0.1504,8918,0.2667,60,0.1163,佐伊,恩泽圣杯
grandmaster,Soraka,59,0.1807,8530,0.2969,64,0.1162,索拉卡,静止法衣
diamond,Gangplank,49,0.1484,1577,0.2642,53,0.1158,普朗克,正义之手
master,Fiora,35,0.0749,2524,0.1905,105,0.1156,菲奥娜,钢铁烈阳之匣
diamond,Ekko,59,0.1624,1416,0.2778,54,0.1154,艾克,静止法衣
diamond,Shen,59,0.1141,12828,0.2291,179,0.115,慎,静止法衣
grandmaster,Kassadin,89,0.1174,15923,0.2319,69,0.1144,卡萨丁,暗星之心
platinum,Jayce,47,0.0908,4990,0.2051,78,0.1144,杰斯,救赎
master,Soraka,67,0.1645,8157,0.2786,140,0.1141,索拉卡,凌风
grandmaster,Ashe,88,0.1242,9750,0.2381,84,0.1139,艾希,自然之力
diamond,Rakan,67,0.1184,4476,0.2323,198,0.1139,洛,凌风
platinum,Kassadin,47,0.1205,10815,0.234,282,0.1136,卡萨丁,救赎
platinum,Soraka,88,0.1407,7122,0.254,63,0.1133,索拉卡,自然之力
platinum,Jhin,57,0.1112,1852,0.2241,58,0.1129,烬,红霸符
challenger,Zoe,59,0.1375,7534,0.25,64,0.1125,佐伊,静止法衣
master,Soraka,59,0.1645,8157,0.2769,65,0.1124,索拉卡,静止法衣
platinum,JarvanIV,36,0.0978,5991,0.2097,62,0.1119,嘉文四世,离子火花
grandmaster,Thresh,88,0.1691,9396,0.2807,57,0.1116,锤石,自然之力
master,Karma,35,0.1343,9983,0.2459,61,0.1116,卡尔玛,钢铁烈阳之匣
diamond,Ezreal,49,0.1067,9487,0.2182,55,0.1115,伊泽瑞尔,正义之手
grandmaster,Irelia,78,0.1167,2664,0.2279,79,0.1111,艾瑞莉娅,守护者胸甲
platinum,Lucian,88,0.0974,3644,0.2083,72,0.1109,卢锡安,自然之力
platinum,Fiora,59,0.0827,3422,0.1936,62,0.1109,菲奥娜,静止法衣
diamond,Kassadin,88,0.1245,16396,0.2353,102,0.1108,卡萨丁,自然之力
platinum,Blitzcrank,46,0.1249,16529,0.2356,174,0.1107,布里茨,恩泽圣杯
diamond,Jinx,56,0.0855,1205,0.1961,51,0.1106,金克丝,破刃者
platinum,Fiora,47,0.0827,3422,0.1933,119,0.1106,菲奥娜,救赎
master,WuKong,59,0.1046,8805,0.2151,172,0.1105,孙悟空,静止法衣
diamond,Rakan,17,0.1184,4476,0.2286,70,0.1102,洛,基克的先驱
platinum,Ashe,67,0.127,6907,0.237,211,0.11,艾希,凌风
master,Soraka,35,0.1645,8157,0.2745,51,0.11,索拉卡,钢铁烈阳之匣
diamond,Fiora,68,0.079,3024,0.1887,106,0.1097,菲奥娜,天神法球
platinum,Lucian,67,0.0974,3644,0.2067,150,0.1093,卢锡安,凌风
platinum,Soraka,17,0.1407,7122,0.25,56,0.1093,索拉卡,基克的先驱
platinum,Leona,2,0.0838,4549,0.1923,130,0.1086,蕾欧娜,反曲之弓
challenger,Lucian,68,0.0556,2517,0.1639,61,0.1083,卢锡安,天神法球
challenger,Shen,27,0.1067,11120,0.215,214,0.1082,慎,兹若特传送门
master,Graves,88,0.1093,10883,0.2174,69,0.1081,格雷福斯,自然之力
diamond,Yasuo,67,0.0921,3052,0.2,70,0.1079,亚索,凌风
master,Ezreal,11,0.0999,11391,0.2076,53,0.1077,伊泽瑞尔,死亡之刃
grandmaster,Fiora,27,0.0715,2280,0.1789,123,0.1074,菲奥娜,兹若特传送门
grandmaster,Fiora,35,0.0715,2280,0.1786,140,0.1071,菲奥娜,钢铁烈阳之匣
diamond,Shen,17,0.1141,12828,0.2211,95,0.107,慎,基克的先驱
diamond,Kassadin,25,0.1245,16396,0.2308,52,0.1063,卡萨丁,泰坦的坚决
master,Ezreal,16,0.0999,11391,0.2059,68,0.106,伊泽瑞尔,饮血剑
master,Kassadin,55,0.1123,14742,0.2182,55,0.1059,卡萨丁,棘刺背心
grandmaster,AurelionSol,13,0.2277,2688,0.3333,54,0.1057,奥瑞利安·索尔,海克斯科技枪刃
grandmaster,Vi,15,0.0928,7230,0.198,101,0.1052,蔚,守护天使
grandmaster,WuKong,89,0.1081,8896,0.2133,75,0.1052,孙悟空,暗星之心
challenger,Karma,88,0.1486,11298,0.2535,71,0.1049,卡尔玛,自然之力
challenger,Lucian,47,0.0556,2517,0.1605,81,0.1049,卢锡安,救赎
challenger,Lux,59,0.1549,11560,0.2596,104,0.1047,拉克丝,静止法衣
challenger,Kassadin,59,0.1088,14576,0.2134,164,0.1046,卡萨丁,静止法衣
diamond,Lulu,59,0.1981,5987,0.3026,76,0.1045,璐璐,静止法衣
master,ChoGath,68,0.0932,5524,0.1975,81,0.1043,科加斯,天神法球
platinum,Lux,88,0.1505,9382,0.2546,110,0.1041,拉克丝,自然之力
grandmaster,Lulu,79,0.2021,6804,0.3061,98,0.104,璐璐,伏击之爪
challenger,Ahri,35,0.1149,4256,0.2188,64,0.1039,阿狸,钢铁烈阳之匣
master,KhaZix,59,0.1062,5369,0.21,100,0.1038,卡兹克,静止法衣
master,Fiora,47,0.0749,2524,0.1787,291,0.1038,菲奥娜,救赎
platinum,Leona,79,0.0838,4549,0.1875,64,0.1038,蕾欧娜,伏击之爪
grandmaster,Kassadin,79,0.1174,15923,0.2212,104,0.1037,卡萨丁,伏击之爪
platinum,Kassadin,55,0.1205,10815,0.2241,58,0.1037,卡萨丁,棘刺背心
diamond,Xayah,17,0.1172,3728,0.2208,77,0.1036,霞,基克的先驱
master,Shen,59,0.1089,10710,0.2121,165,0.1033,慎,静止法衣
challenger,Shaco,36,0.0898,2261,0.193,57,0.1032,萨科,离子火花
platinum,Leona,59,0.0838,4549,0.1867,75,0.1029,蕾欧娜,静止法衣
platinum,Kassadin,59,0.1205,10815,0.2233,103,0.1028,卡萨丁,静止法衣
platinum,Ahri,67,0.1009,3766,0.2034,59,0.1025,阿狸,凌风
grandmaster,Malphite,59,0.1099,18161,0.2124,113,0.1025,墨菲特,静止法衣
challenger,Vi,59,0.088,6514,0.1905,189,0.1025,蔚,静止法衣
platinum,Rakan,67,0.0992,3761,0.2016,129,0.1024,洛,凌风
platinum,Malphite,59,0.1346,13652,0.2368,114,0.1022,墨菲特,静止法衣
grandmaster,Shen,59,0.1084,11646,0.2105,190,0.1022,慎,静止法衣
challenger,Leona,79,0.0909,4590,0.1928,83,0.1019,蕾欧娜,伏击之爪
grandmaster,KhaZix,19,0.0891,4803,0.1909,110,0.1018,卡兹克,无尽之刃
platinum,Soraka,67,0.1407,7122,0.2424,165,0.1017,索拉卡,凌风
diamond,XinZhao,67,0.1049,3710,0.2065,92,0.1017,赵信,凌风
diamond,ChoGath,68,0.108,6101,0.2097,62,0.1017,科加斯,天神法球
diamond,Fiora,5,0.079,3024,0.1807,155,0.1016,菲奥娜,锁子甲
diamond,WuKong,38,0.1043,8641,0.2059,68,0.1016,孙悟空,爆破专家的电荷
diamond,Kassadin,59,0.1245,16396,0.2258,186,0.1013,卡萨丁,静止法衣
diamond,Kassadin,35,0.1245,16396,0.2255,102,0.101,卡萨丁,钢铁烈阳之匣
master,Shaco,67,0.0657,2040,0.1667,78,0.101,萨科,凌风
master,Rakan,67,0.1241,3118,0.225,120,0.1009,洛,凌风
diamond,Thresh,47,0.1726,6832,0.2734,139,0.1008,锤石,救赎
grandmaster,Lucian,47,0.0563,2273,0.1569,51,0.1006,卢锡安,救赎
challenger,WuKong,59,0.1045,8208,0.205,161,0.1004,孙悟空,静止法衣
grandmaster,Leona,79,0.0752,4125,0.1754,57,0.1003,蕾欧娜,伏击之爪
diamond,Ezreal,58,0.1067,9487,0.2069,87,0.1002,伊泽瑞尔,叛逆者勋章
master,Fiora,27,0.0749,2524,0.175,120,0.1001,菲奥娜,兹若特传送门
challenger,Fiora,47,0.0773,2108,0.1773,564,0.1,菲奥娜,救赎
diamond,Lulu,47,0.1981,5987,0.2979,94,0.0998,璐璐,救赎
platinum,Lux,59,0.1505,9382,0.25,76,0.0995,拉克丝,静止法衣
master,JarvanIV,45,0.1037,3577,0.2029,69,0.0992,嘉文四世,冰霜之心
master,Leona,59,0.0758,4618,0.1743,109,0.0985,蕾欧娜,静止法衣
diamond,Rumble,88,0.1555,5247,0.254,63,0.0985,兰博,自然之力
challenger,Malphite,17,0.1082,16535,0.2064,63,0.0982,墨菲特,基克的先驱
challenger,Lucian,67,0.0556,2517,0.1537,384,0.098,卢锡安,凌风
master,Soraka,68,0.1645,8157,0.2623,61,0.0978,索拉卡,天神法球
grandmaster,Thresh,57,0.1691,9396,0.2667,60,0.0976,锤石,红霸符
challenger,Fiora,59,0.0773,2108,0.1746,126,0.0973,菲奥娜,静止法衣
platinum,Ezreal,17,0.1152,8514,0.2125,160,0.0973,伊泽瑞尔,基克的先驱
master,Caitlyn,67,0.105,1790,0.2023,89,0.0972,凯特琳,凌风
platinum,ChoGath,47,0.1078,4414,0.2048,249,0.097,科加斯,救赎
diamond,Graves,67,0.1153,11229,0.2121,297,0.0968,格雷福斯,凌风
master,XinZhao,47,0.1146,3282,0.2113,71,0.0967,赵信,救赎
challenger,Fiora,67,0.0773,2108,0.1738,892,0.0965,菲奥娜,凌风
grandmaster,Jayce,78,0.0801,4195,0.1765,68,0.0964,杰斯,守护者胸甲
diamond,ChoGath,59,0.108,6101,0.2044,181,0.0964,科加斯,静止法衣
master,Xayah,17,0.1203,4346,0.2165,97,0.0962,霞,基克的先驱
platinum,Graves,47,0.1097,7456,0.2059,102,0.0962,格雷福斯,救赎
master,Graves,17,0.1093,10883,0.2055,73,0.0961,格雷福斯,基克的先驱
master,Lux,14,0.1576,10438,0.2537,67,0.0961,拉克丝,朔极之矛
platinum,Jayce,59,0.0908,4990,0.1864,59,0.0957,杰斯,静止法衣
diamond,XinZhao,47,0.1049,3710,0.2,65,0.0952,赵信,救赎
grandmaster,Thresh,48,0.1691,9396,0.2642,53,0.095,锤石,星之守护者的符咒
master,Zoe,67,0.1425,8310,0.2373,177,0.0948,佐伊,凌风
master,Sona,67,0.1236,3665,0.2182,55,0.0946,娑娜,凌风
grandmaster,ChoGath,79,0.0956,6842,0.19,200,0.0944,科加斯,伏击之爪
platinum,Poppy,88,0.1036,5871,0.1978,91,0.0942,波比,自然之力
challenger,Soraka,67,0.1651,7337,0.2593,162,0.0942,索拉卡,凌风
platinum,Kassadin,67,0.1205,10815,0.2146,247,0.0941,卡萨丁,凌风
grandmaster,KhaZix,12,0.0891,4803,0.1831,71,0.094,卡兹克,巨人杀手
master,Rakan,45,0.1241,3118,0.218,211,0.0939,洛,冰霜之心
grandmaster,Fiora,36,0.0715,2280,0.1651,218,0.0937,菲奥娜,离子火花
grandmaster,Ezreal,11,0.0968,11402,0.1905,63,0.0937,伊泽瑞尔,死亡之刃
platinum,Leona,68,0.0838,4549,0.1772,79,0.0935,蕾欧娜,天神法球
platinum,Blitzcrank,47,0.1249,16529,0.2182,110,0.0933,布里茨,救赎
platinum,Leona,88,0.0838,4549,0.177,209,0.0933,蕾欧娜,自然之力
platinum,Blitzcrank,35,0.1249,16529,0.2178,101,0.0929,布里茨,钢铁烈阳之匣
master,Thresh,59,0.17,8457,0.2628,156,0.0928,锤石,静止法衣
grandmaster,Fiora,68,0.0715,2280,0.1642,134,0.0927,菲奥娜,天神法球
grandmaster,Fiora,67,0.0715,2280,0.1639,598,0.0924,菲奥娜,凌风
platinum,Ezreal,67,0.1152,8514,0.2074,217,0.0922,伊泽瑞尔,凌风
challenger,Leona,68,0.0909,4590,0.1827,197,0.0919,蕾欧娜,天神法球
diamond,Blitzcrank,59,0.1176,19351,0.2095,105,0.0919,布里茨,静止法衣
grandmaster,Lucian,67,0.0563,2273,0.1482,243,0.0918,卢锡安,凌风
diamond,Malphite,47,0.1228,17579,0.2146,219,0.0918,墨菲特,救赎
platinum,KhaZix,89,0.1161,4746,0.2076,53,0.0915,卡兹克,暗星之心
diamond,Fiora,47,0.079,3024,0.1703,182,0.0913,菲奥娜,救赎
grandmaster,Lux,1,0.1637,10165,0.2549,51,0.0912,拉克丝,暴风大剑
master,Graves,47,0.1093,10883,0.2,235,0.0907,格雷福斯,救赎
platinum,Ezreal,19,0.1152,8514,0.2059,68,0.0907,伊泽瑞尔,无尽之刃
challenger,Ezreal,11,0.0952,12275,0.1857,70,0.0906,伊泽瑞尔,死亡之刃
grandmaster,Karma,35,0.1354,7262,0.2258,62,0.0905,卡尔玛,钢铁烈阳之匣
master,Blitzcrank,47,0.1051,18752,0.1953,128,0.0903,布里茨,救赎
platinum,Kassadin,28,0.1205,10815,0.2105,57,0.0901,卡萨丁,刺客之爪
diamond,Malphite,35,0.1228,17579,0.2128,94,0.09,墨菲特,钢铁烈阳之匣
platinum,Neeko,79,0.092,3718,0.1818,66,0.0898,妮蔻,伏击之爪
challenger,Leona,77,0.0909,4590,0.1806,72,0.0897,蕾欧娜,狂徒铠甲
platinum,Fiora,67,0.0827,3422,0.1723,238,0.0896,菲奥娜,凌风
platinum,Irelia,28,0.0981,2313,0.1875,80,0.0894,艾瑞莉娅,刺客之爪
challenger,Vi,58,0.088,6514,0.1765,68,0.0885,蔚,叛逆者勋章
grandmaster,Fiora,88,0.0715,2280,0.1599,294,0.0884,菲奥娜,自然之力
diamond,Graves,29,0.1153,11229,0.2037,54,0.0884,格雷福斯,最后的轻语
platinum,Thresh,24,0.1805,5911,0.2687,67,0.0882,锤石,斯塔缇克电刃
diamond,Fiora,67,0.079,3024,0.1672,293,0.0882,菲奥娜,凌风
platinum,Ezreal,58,0.1152,8514,0.2034,59,0.0882,伊泽瑞尔,叛逆者勋章
diamond,Caitlyn,17,0.1084,4337,0.1964,56,0.0881,凯特琳,基克的先驱
diamond,Thresh,22,0.1726,6832,0.2604,96,0.0879,锤石,疾射火炮
platinum,Soraka,46,0.1407,7122,0.2286,105,0.0879,索拉卡,恩泽圣杯
platinum,Fiora,88,0.0827,3422,0.1705,176,0.0878,菲奥娜,自然之力
challenger,Mordekaiser,27,0.0989,6533,0.1858,296,0.0869,莫德凯撒,兹若特传送门
challenger,Kayle,79,0.1592,5064,0.2459,61,0.0867,凯尔,伏击之爪
platinum,Vi,17,0.1193,8502,0.2059,68,0.0866,蔚,基克的先驱
platinum,MissFortune,79,0.1478,3830,0.2342,111,0.0865,厄运小姐,伏击之爪
challenger,Fiora,17,0.0773,2108,0.1635,104,0.0861,菲奥娜,基克的先驱
grandmaster,Rakan,67,0.1411,3644,0.227,141,0.0859,洛,凌风
challenger,Ezreal,16,0.0952,12275,0.1807,83,0.0856,伊泽瑞尔,饮血剑
challenger,Sona,67,0.1221,3695,0.2076,53,0.0855,娑娜,凌风
grandmaster,Mordekaiser,59,0.0879,5163,0.1731,52,0.0852,莫德凯撒,静止法衣
platinum,Lulu,88,0.1979,6257,0.283,53,0.0852,璐璐,自然之力
challenger,Ahri,17,0.1149,4256,0.2,55,0.0851,阿狸,基克的先驱
master,Kassadin,78,0.1123,14742,0.1974,152,0.0851,卡萨丁,守护者胸甲
diamond,Fiora,88,0.079,3024,0.164,189,0.085,菲奥娜,自然之力
grandmaster,ChoGath,69,0.0956,6842,0.1806,72,0.085,科加斯,水银
diamond,MissFortune,26,0.161,3659,0.2459,61,0.0849,厄运小姐,卢安娜的飓风
diamond,Caitlyn,29,0.1084,4337,0.1932,88,0.0848,凯特琳,最后的轻语
diamond,XinZhao,17,0.1049,3710,0.1897,58,0.0848,赵信,基克的先驱
grandmaster,XinZhao,67,0.1081,3109,0.1928,83,0.0847,赵信,凌风
diamond,Lux,67,0.1461,6963,0.2304,217,0.0844,拉克丝,凌风
diamond,Leona,36,0.0683,3264,0.1526,190,0.0843,蕾欧娜,离子火花
platinum,Kassadin,34,0.1205,10815,0.2046,88,0.0841,卡萨丁,卢登的回声
diamond,Vi,47,0.1075,9879,0.1915,611,0.084,蔚,救赎
master,Lucian,23,0.0671,2640,0.1509,53,0.0839,卢锡安,鬼索的狂暴之刃
grandmaster,WuKong,35,0.1081,8896,0.1917,120,0.0835,孙悟空,钢铁烈阳之匣
platinum,ChoGath,55,0.1078,4414,0.1914,162,0.0835,科加斯,棘刺背心
grandmaster,Shen,79,0.1084,11646,0.1917,120,0.0833,慎,伏击之爪
master,ChoGath,69,0.0932,5524,0.1765,68,0.0832,科加斯,水银
diamond,Lucian,17,0.0721,2677,0.1552,58,0.0831,卢锡安,基克的先驱
diamond,Fiora,36,0.079,3024,0.1622,111,0.0831,菲奥娜,离子火花
platinum,WuKong,36,0.1047,8139,0.1878,245,0.0831,孙悟空,离子火花
grandmaster,Thresh,59,0.1691,9396,0.2514,175,0.0823,锤石,静止法衣
challenger,JarvanIV,27,0.1178,3567,0.2,180,0.0823,嘉文四世,兹若特传送门
platinum,Ezreal,23,0.1152,8514,0.1974,76,0.0822,伊泽瑞尔,鬼索的狂暴之刃
challenger,Lulu,59,0.2037,7896,0.2857,126,0.0821,璐璐,静止法衣
diamond,Lux,79,0.1461,6963,0.2281,57,0.082,拉克丝,伏击之爪
platinum,Fiora,27,0.0827,3422,0.1646,79,0.0819,菲奥娜,兹若特传送门
master,Kassadin,36,0.1123,14742,0.1939,165,0.0817,卡萨丁,离子火花
grandmaster,Leona,67,0.0752,4125,0.1567,919,0.0815,蕾欧娜,凌风
platinum,Leona,67,0.0838,4549,0.1651,424,0.0813,蕾欧娜,凌风
master,Vi,25,0.0952,7791,0.1765,119,0.0812,蔚,泰坦的坚决
master,Lucian,29,0.0671,2640,0.1482,108,0.0811,卢锡安,最后的轻语
diamond,Ashe,88,0.1289,10077,0.21,100,0.0811,艾希,自然之力
challenger,Lucian,2,0.0556,2517,0.1366,388,0.081,卢锡安,反曲之弓
grandmaster,Xayah,67,0.1191,4334,0.2,215,0.0809,霞,凌风
diamond,Karma,35,0.1308,6192,0.2115,52,0.0807,卡尔玛,钢铁烈阳之匣
master,ChoGath,59,0.0932,5524,0.1739,184,0.0807,科加斯,静止法衣
challenger,Leona,47,0.0909,4590,0.1715,694,0.0806,蕾欧娜,救赎
master,Kassadin,27,0.1123,14742,0.1929,140,0.0806,卡萨丁,兹若特传送门
grandmaster,Caitlyn,67,0.1159,2097,0.1964,112,0.0806,凯特琳,凌风
master,Shen,88,0.1089,10710,0.1892,74,0.0803,慎,自然之力
grandmaster,Kassadin,46,0.1174,15923,0.1975,81,0.0801,卡萨丁,恩泽圣杯
challenger,Kassadin,17,0.1088,14576,0.1889,90,0.0801,卡萨丁,基克的先驱
platinum,WuKong,47,0.1047,8139,0.1847,314,0.08,孙悟空,救赎
grandmaster,Kassadin,37,0.1174,15923,0.1971,208,0.0797,卡萨丁,莫雷洛秘典
diamond,Graves,27,0.1153,11229,0.1948,77,0.0795,格雷福斯,兹若特传送门
diamond,Ezreal,24,0.1067,9487,0.1861,86,0.0794,伊泽瑞尔,斯塔缇克电刃
grandmaster,Ekko,59,0.166,1048,0.2453,53,0.0793,艾克,静止法衣
grandmaster,KhaZix,59,0.0891,4803,0.1684,95,0.0793,卡兹克,静止法衣
diamond,Blitzcrank,35,0.1176,19351,0.1967,61,0.0791,布里茨,钢铁烈阳之匣
challenger,Ahri,46,0.1149,4256,0.1939,165,0.079,阿狸,恩泽圣杯
